month,totalCost,maxBudget,Attractions,rangeAttractions,maxAttr,hostelNight,rangeNight,maxHostel,drinksEntertainment,drinkRound,meals,mealsRound,transport,TransportRound,avgTemp,avgTempYear,currency,currencyCode,rank,country,city
August,99.2069,105,13.6,10-15,15,28.4869,25-30,30,20.4,20,28.56,29,8.16,8,16.7,8.2,Danish Kroner,DKK,26,Denmark,Copenhagen
September,99.2069,105,13.6,10-15,15,28.4869,25-30,30,20.4,20,28.56,29,8.16,8,13.1,8.2,Danish Kroner,DKK,26,Denmark,Copenhagen
October,99.2069,105,13.6,10-15,15,28.4869,25-30,30,20.4,20,28.56,29,8.16,8,9.1,8.2,Danish Kroner,DKK,26,Denmark,Copenhagen
November,99.2069,105,13.6,10-15,15,28.4869,25-30,30,20.4,20,28.56,29,8.16,8,4.9,8.2,Danish Kroner,DKK,26,Denmark,Copenhagen
December,99.2069,105,13.6,10-15,15,28.4869,25-30,30,20.4,20,28.56,29,8.16,8,2.1,8.2,Danish Kroner,DKK,26,Denmark,Copenhagen
January,94.0912,100,8.68,05-10,10,28.6192,25-30,30,22.32,22,28.272,28,6.2,6,-3.9,5.9,Euro,EUR,25,Finland,Helsinki
February,94.0912,100,8.68,05-10,10,28.6192,25-30,30,22.32,22,28.272,28,6.2,6,-4.7,5.9,Euro,EUR,25,Finland,Helsinki
March,94.0912,100,8.68,05-10,10,28.6192,25-30,30,22.32,22,28.272,28,6.2,6,-1.3,5.9,Euro,EUR,25,Finland,Helsinki
April,94.0912,100,8.68,05-10,10,28.6192,25-30,30,22.32,22,28.272,28,6.2,6,3.9,5.9,Euro,EUR,25,Finland,Helsinki
May,94.0912,100,8.68,05-10,10,28.6192,25-30,30,22.32,22,28.272,28,6.2,6,10.2,5.9,Euro,EUR,25,Finland,Helsinki
June,94.0912,100,8.68,05-10,10,28.6192,25-30,30,22.32,22,28.272,28,6.2,6,14.6,5.9,Euro,EUR,25,Finland,Helsinki
July,94.0912,100,8.68,05-10,10,28.6192,25-30,30,22.32,22,28.272,28,6.2,6,17.8,5.9,Euro,EUR,25,Finland,Helsinki
August,94.0912,100,8.68,05-10,10,28.6192,25-30,30,22.32,22,28.272,28,6.2,6,16.3,5.9,Euro,EUR,25,Finland,Helsinki
September,94.0912,100,8.68,05-10,10,28.6192,25-30,30,22.32,22,28.272,28,6.2,6,11.5,5.9,Euro,EUR,25,Finland,Helsinki
October,94.0912,100,8.68,05-10,10,28.6192,25-30,30,22.32,22,28.272,28,6.2,6,6.6,5.9,Euro,EUR,25,Finland,Helsinki
November,94.0912,100,8.68,05-10,10,28.6192,25-30,30,22.32,22,28.272,28,6.2,6,1.6,5.9,Euro,EUR,25,Finland,Helsinki
December,94.0912,100,8.68,05-10,10,28.6192,25-30,30,22.32,22,28.272,28,6.2,6,-2,5.9,Euro,EUR,25,Finland,Helsinki
January,91.0408,95,14.88,10-15,15,31.5208,30-35,35,14.88,15,25.296,25,4.464,4,4.9,12.3,Euro,EUR,23,France,Paris
February,91.0408,95,14.88,10-15,15,31.5208,30-35,35,14.88,15,25.296,25,4.464,4,5.6,12.3,Euro,EUR,23,France,Paris
March,91.0408,95,14.88,10-15,15,31.5208,30-35,35,14.88,15,25.296,25,4.464,4,8.8,12.3,Euro,EUR,23,France,Paris
April,91.0408,95,14.88,10-15,15,31.5208,30-35,35,14.88,15,25.296,25,4.464,4,11.4,12.3,Euro,EUR,23,France,Paris
May,91.0408,95,14.88,10-15,15,31.5208,30-35,35,14.88,15,25.296,25,4.464,4,15.1,12.3,Euro,EUR,23,France,Paris
June,91.0408,95,14.88,10-15,15,31.5208,30-35,35,14.88,15,25.296,25,4.464,4,18.2,12.3,Euro,EUR,23,France,Paris
July,91.0408,95,14.88,10-15,15,31.5208,30-35,35,14.88,15,25.296,25,4.464,4,20.4,12.3,Euro,EUR,23,France,Paris
August,91.0408,95,14.88,10-15,15,31.5208,30-35,35,14.88,15,25.296,25,4.464,4,20.2,12.3,Euro,EUR,23,France,Paris
September,91.0408,95,14.88,10-15,15,31.5208,30-35,35,14.88,15,25.296,25,4.464,4,16.9,12.3,Euro,EUR,23,France,Paris
October,91.0408,95,14.88,10-15,15,31.5208,30-35,35,14.88,15,25.296,25,4.464,4,12.9,12.3,Euro,EUR,23,France,Paris
November,91.0408,95,14.88,10-15,15,31.5208,30-35,35,14.88,15,25.296,25,4.464,4,8.1,12.3,Euro,EUR,23,France,Paris
December,91.0408,95,14.88,10-15,15,31.5208,30-35,35,14.88,15,25.296,25,4.464,4,5.4,12.3,Euro,EUR,23,France,Paris
January,73.408,75,14.88,10-15,15,19.84,15-20,20,11.16,11,20.832,21,6.696,7,0.6,10.3,Euro,EUR,15,Germany,Berlin
February,73.408,75,14.88,10-15,15,19.84,15-20,20,11.16,11,20.832,21,6.696,7,2.3,10.3,Euro,EUR,15,Germany,Berlin
March,73.408,75,14.88,10-15,15,19.84,15-20,20,11.16,11,20.832,21,6.696,7,5.1,10.3,Euro,EUR,15,Germany,Berlin
April,73.408,75,14.88,10-15,15,19.84,15-20,20,11.16,11,20.832,21,6.696,7,10.2,10.3,Euro,EUR,15,Germany,Berlin
May,73.408,75,14.88,10-15,15,19.84,15-20,20,11.16,11,20.832,21,6.696,7,14.8,10.3,Euro,EUR,15,Germany,Berlin
June,73.408,75,14.88,10-15,15,19.84,15-20,20,11.16,11,20.832,21,6.696,7,17.9,10.3,Euro,EUR,15,Germany,Berlin
July,73.408,75,14.88,10-15,15,19.84,15-20,20,11.16,11,20.832,21,6.696,7,20.3,10.3,Euro,EUR,15,Germany,Berlin
August,73.408,75,14.88,10-15,15,19.84,15-20,20,11.16,11,20.832,21,6.696,7,19.7,10.3,Euro,EUR,15,Germany,Berlin
September,73.408,75,14.88,10-15,15,19.84,15-20,20,11.16,11,20.832,21,6.696,7,15.3,10.3,Euro,EUR,15,Germany,Berlin
October,73.408,75,14.88,10-15,15,19.84,15-20,20,11.16,11,20.832,21,6.696,7,10.5,10.3,Euro,EUR,15,Germany,Berlin
November,73.408,75,14.88,10-15,15,19.84,15-20,20,11.16,11,20.832,21,6.696,7,6,10.3,Euro,EUR,15,Germany,Berlin
December,73.408,75,14.88,10-15,15,19.84,15-20,20,11.16,11,20.832,21,6.696,7,1.3,10.3,Euro,EUR,15,Germany,Berlin
January,58.9,65,9.92,05-10,10,12.4,10-15,15,9.3,9,23.808,24,3.472,3,10.2,19.1,Euro,EUR,11,Greece,Athens
February,58.9,65,9.92,05-10,10,12.4,10-15,15,9.3,9,23.808,24,3.472,3,10.8,19.1,Euro,EUR,11,Greece,Athens
March,58.9,65,9.92,05-10,10,12.4,10-15,15,9.3,9,23.808,24,3.472,3,13.1,19.1,Euro,EUR,11,Greece,Athens
April,58.9,65,9.92,05-10,10,12.4,10-15,15,9.3,9,23.808,24,3.472,3,16.8,19.1,Euro,EUR,11,Greece,Athens
May,58.9,65,9.92,05-10,10,12.4,10-15,15,9.3,9,23.808,24,3.472,3,21.7,19.1,Euro,EUR,11,Greece,Athens
June,58.9,65,9.92,05-10,10,12.4,10-15,15,9.3,9,23.808,24,3.472,3,26.6,19.1,Euro,EUR,11,Greece,Athens
July,58.9,65,9.92,05-10,10,12.4,10-15,15,9.3,9,23.808,24,3.472,3,29.3,19.1,Euro,EUR,11,Greece,Athens
August,58.9,65,9.92,05-10,10,12.4,10-15,15,9.3,9,23.808,24,3.472,3,29.2,19.1,Euro,EUR,11,Greece,Athens
September,58.9,65,9.92,05-10,10,12.4,10-15,15,9.3,9,23.808,24,3.472,3,25,19.1,Euro,EUR,11,Greece,Athens
October,58.9,65,9.92,05-10,10,12.4,10-15,15,9.3,9,23.808,24,3.472,3,20.1,19.1,Euro,EUR,11,Greece,Athens
November,58.9,65,9.92,05-10,10,12.4,10-15,15,9.3,9,23.808,24,3.472,3,15.4,19.1,Euro,EUR,11,Greece,Athens
December,58.9,65,9.92,05-10,10,12.4,10-15,15,9.3,9,23.808,24,3.472,3,11.5,19.1,Euro,EUR,11,Greece,Athens
January,35.616,40,7.2,05-10,10,8.936,05-10,10,4.2,4,12.48,12,2.8,3,0.4,11.3,Hungary Forint,HUF,5,Hungary,Budapest
February,35.616,40,7.2,05-10,10,8.936,05-10,10,4.2,4,12.48,12,2.8,3,2.3,11.3,Hungary Forint,HUF,5,Hungary,Budapest
March,35.616,40,7.2,05-10,10,8.936,05-10,10,4.2,4,12.48,12,2.8,3,6.1,11.3,Hungary Forint,HUF,5,Hungary,Budapest
April,35.616,40,7.2,05-10,10,8.936,05-10,10,4.2,4,12.48,12,2.8,3,12,11.3,Hungary Forint,HUF,5,Hungary,Budapest
May,35.616,40,7.2,05-10,10,8.936,05-10,10,4.2,4,12.48,12,2.8,3,16.6,11.3,Hungary Forint,HUF,5,Hungary,Budapest
June,35.616,40,7.2,05-10,10,8.936,05-10,10,4.2,4,12.48,12,2.8,3,19.7,11.3,Hungary Forint,HUF,5,Hungary,Budapest
July,35.616,40,7.2,05-10,10,8.936,05-10,10,4.2,4,12.48,12,2.8,3,21.5,11.3,Hungary Forint,HUF,5,Hungary,Budapest
August,35.616,40,7.2,05-10,10,8.936,05-10,10,4.2,4,12.48,12,2.8,3,21.2,11.3,Hungary Forint,HUF,5,Hungary,Budapest
September,35.616,40,7.2,05-10,10,8.936,05-10,10,4.2,4,12.48,12,2.8,3,16.9,11.3,Hungary Forint,HUF,5,Hungary,Budapest
October,35.616,40,7.2,05-10,10,8.936,05-10,10,4.2,4,12.48,12,2.8,3,11.8,11.3,Hungary Forint,HUF,5,Hungary,Budapest
November,35.616,40,7.2,05-10,10,8.936,05-10,10,4.2,4,12.48,12,2.8,3,5.4,11.3,Hungary Forint,HUF,5,Hungary,Budapest
December,35.616,40,7.2,05-10,10,8.936,05-10,10,4.2,4,12.48,12,2.8,3,1.8,11.3,Hungary Forint,HUF,5,Hungary,Budapest
January,77.128,85,12.4,10-15,15,18.6,15-20,20,18.6,19,23.808,24,3.72,4,5.3,9.8,Euro,EUR,17,Ireland,Dublin
February,77.128,85,12.4,10-15,15,18.6,15-20,20,18.6,19,23.808,24,3.72,4,5.3,9.8,Euro,EUR,17,Ireland,Dublin
March,77.128,85,12.4,10-15,15,18.6,15-20,20,18.6,19,23.808,24,3.72,4,6.8,9.8,Euro,EUR,17,Ireland,Dublin
April,77.128,85,12.4,10-15,15,18.6,15-20,20,18.6,19,23.808,24,3.72,4,8.3,9.8,Euro,EUR,17,Ireland,Dublin
May,77.128,85,12.4,10-15,15,18.6,15-20,20,18.6,19,23.808,24,3.72,4,10.9,9.8,Euro,EUR,17,Ireland,Dublin
June,77.128,85,12.4,10-15,15,18.6,15-20,20,18.6,19,23.808,24,3.72,4,13.6,9.8,Euro,EUR,17,Ireland,Dublin
July,77.128,85,12.4,10-15,15,18.6,15-20,20,18.6,19,23.808,24,3.72,4,15.6,9.8,Euro,EUR,17,Ireland,Dublin
August,77.128,85,12.4,10-15,15,18.6,15-20,20,18.6,19,23.808,24,3.72,4,15.3,9.8,Euro,EUR,17,Ireland,Dublin
September,77.128,85,12.4,10-15,15,18.6,15-20,20,18.6,19,23.808,24,3.72,4,13.4,9.8,Euro,EUR,17,Ireland,Dublin
October,77.128,85,12.4,10-15,15,18.6,15-20,20,18.6,19,23.808,24,3.72,4,10.5,9.8,Euro,EUR,17,Ireland,Dublin
November,77.128,85,12.4,10-15,15,18.6,15-20,20,18.6,19,23.808,24,3.72,4,7.4,9.8,Euro,EUR,17,Ireland,Dublin
December,77.128,85,12.4,10-15,15,18.6,15-20,20,18.6,19,23.808,24,3.72,4,5.6,9.8,Euro,EUR,17,Ireland,Dublin
January,85.436,90,12.4,10-15,15,32.736,30-35,35,13.02,13,22.32,22,4.96,5,2.5,13,Euro,EUR,22,Italy,Milan
